	Article Title	Description	Coding	Movie
85	Stephen King Has A Theory About Why The Marvels Is Not Doing Great At The Box Office	"Author and ""Mambo No. 5"" superfan Stephen King has weighed in on the recent struggles of The Marvels at the box office, saying the poor opening-weekend results may be due, in part, to ""adolescent fanboy hate.""Posting on X (formerly Twitter), King said he does…"	Performance	The Marvels
86	The Ballad Of Songbirds And Snakes Director Will Make Another Hunger Games Under One Condition	Director Francis Lawrence is game to make another Hunger Games film after Ballad of Snakes and Songbirds, but only if Suzanne Collins writes a new novel first.	Actor & Director	THG
87	‘Election’ Sequel: Alexander Payne Says He Wants Matthew Broderick Back & To “Loosely” Adapt The Book That Doesn’t Include His Character	As you probably have heard by now, writer Tom Perrota, the author of 1998’s novel “Election,” which was adapted into a very successful feature film by filmmaker Alexander Payne, has written the sequel, 2022’s book “Tracy Flick Can’t Win.” And some years back,…	Unrelated	Not relevant
88	The Hunger Games: The Ballad of Songbirds & Snakes	A surprisingly suspenseful prequel.	Movie production	THG
89	Lana Del Rey Couldn’t Fit Priscilla in Her Schedule	Did you want Lana Del Rey to be part of ‘Priscilla’? So did Sofia Coppola. But the director said due to timing, the singer wasn’t able to be on the soundtrack or make it to the premiere of the Priscilla Presley biopic.	Movie production	Priscilla
90	Emerald Fennell Says Saltburn Is About the “Absurdity of Class”	As her twisty, erotic thriller about the unfairness of wealth and class comes out, Emerald Fennell talks about “awfully rich people behaving awfully”	Actor & Director	Saltburn
91	Box Office: ‘Hunger Games: Ballad of Songbirds & Snakes’ Makes $5.75 Million in Previews	Welcome back to the “Hunger Games,” and may the box office odds be ever in your favor. The latest movie in the Lionsgate YA action franchise, “The Hunger Games: The Ballad of Songbirds and Snakes,” has made $5.75 million in previews at the box office. The pre…	Performance	THG
92	New and Noteworthy: November 2023	The time change comes at the beginning of every November and yet I still struggle with it every year. As soon as it gets dark at 5:00pm, I find it so hard to work and be productive since it feels like 8:00pm. I also have a trip to Paris coming up so there is …	Unrelated	Not relevant
93	The Hunger Games: The Ballad of Songbirds and Snakes (2023)	Genres: Action and Adventure. Running Time: 158 min. Directed by: Francis Lawrence. Starring: Rachel Zegler, Tom Blyth. Synopsis: Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.	Movie production	THG
94	Rosamund Pike Attends Special Screening of Her New Movie 'Saltburn' in London	Rosamund Pike is stepping out to promote her new movie! The 44-year-old Emmy and Golden Globe winner attended a special screening of her movie Saltburn on Saturday (November 18) held at the Charlotte Street Hotel in London, England. PHOTOS: Check out the late…	Actor & Director	Saltburn
95	Does The Hunger Games: The Ballad of Songbirds and Snakes Have a Post-Credits Scene?	The prequel delves deep into the history of President Snow—but does it leave the door open for more dystopian action?	Movie production	THG
96	How The Marvels Put Together That Chaotic Cat Scene	The story behind The Marvel's pivotal moment in which dozens of man-eating kittens run around a spaceship.	Movie production	The Marvels
97	‘Hunger Games’ prequel traces the rise of Panem president Coriolanus Snow	"Tom Blyth and Rachel Zegler star in ""The Hunger Games: The Ballad of Songbirds and Snakes"" opposite a fierce Viola Davis."	Movie production	THG
98	Hollywood’s Directing Dynasties: Coppolas, Cronenbergs and More (Photos)	Sofia Coppola, whose awards contender “Priscilla” is now in theaters, is just one of several filmmakers whose parents were already major names in the industry. Both her father, Francis Ford Coppola, and her mother, Eleanor Coppola, are directors, as is her br…	Actor & Director	Priscilla
99	The New Hunger Games Movie Is a Musical, Thank God	The Ballad of Songbirds and Snakes lives up to its title. It’s an inspired choice.	Movie production	THG
100	Is Saltburn Stupid in a Good Way or a Bad Way?	Emerald Fennell’s latest is either a preening, cynical film that’s far less clever than it thinks it is, or daring and delightfully indulgent — and it’s tearing Vulture’s staff apart.	Movie production	Saltburn
101	Lit Hub Daily: November 10, 2023	“Throughout recorded history, humans have regarded the art of writing with awe and even reverence.” How writing made us human. | Lit Hub History Tom Clavin recounts the bloody, doomed final days of the infamous bandits the Dalton Gang. | Lit Hub History “Copp…	Unrelated	Not relevant
102	The Hunger Games Director Francis Lawrence on Adapting a Prequel	The Hunger Games: The Ballad of Songbirds and Snakes director chats with io9 about the challenges of making a prequel in the film series.	Actor & Director	THG
103	The Marvels Filmmaker Reveals Advice from Black Panther's Director	The Marvels has received generally positive reviews from critics and fans thus far, despite its meager turnout out at the box office for its opening holiday weekend. Unfortunately, it was the most disappointing opening weekend in modern MCU, but we have to re…	Actor & Director	The Marvels
104	The Ballad of Songbirds and Snakes: This is what you may want to know about The Hunger Games prequel’s streaming release	The Hunger Games prequel, The Ballad of Songbirds and Snakes, heads to Peacock in 2024 after its theater run, part of a Lionsgate deal with Peacock. Streaming release details remain unconfirmed. Fans may anticipate an early 2024 release at 2 a.m. PT / 5 a.m. …	Movie production	THG
105	Hunger Games – The Ballad of Songbirds and Snakes Review	This Hunger Games prequel provides intriguing performances and some insight into the early days of Panem, but fails to keep the momentum throughout.	Backlash	THG
106	Jacob Elordi Ate A Pound Of Bacon A Day To Get Into Character As Elvis	Priscilla, the new Priscilla Presley biopic from Sofia Coppola, is out now. (Our own Tom Breihan liked it and thinks Coppola should do Kim Mathers next.) While promoting the movie, Jacob Elordi, who plays Elvis Presley, sat with Coppola and Cailee Spaeny, who…	Actor & Director	Priscilla
107	“Saltburn” Review: The Talented Mr. Quick	This piece was written during the 2023 SAG-AFTRA strike. The gateway to great art lies in caring for the artist.  A delicious sort of contradiction ... Read More	Movie production	Saltburn
108	Thanksgiving: Karen Cliche on Feasting on Eli Roth Horror Opportunity	Karen Cliche carved herself quite a career, being active for nearly a quarter century since her debut in 1999's The Collectors. She'd built a diverse filmography from action, thrillers, supernatural, and science fiction with memorable roles in Fox's Mutant X,…	Actor & Director	Thanksgiving
109	‘The Hunger Games: Ballad of Songbirds & Snakes’ Review: A Tale of Power And Uncertainty In Pre-Katniss Panem	The book Hunger Games: Ballad of Songbirds & Snakes, written by Suzanne Collins is adapted to screen by director Francis Lawrence, alongside screenwriters Michael Lesslie and Michael Arndt. The film delves into the chillingly formative years of Panem, a socie…	Movie production	THG
110	A24’s Nicolas Cage-Starring ‘Dream Scenario’ Opens In Limited Release With Spoof ‘It’s A Wonderful Knife’, Doc ‘Orlando, My Political Biography’ – Specialty Preview	A24 continues its stream of special runs opening dark comedy Dream Scenario in limited release on six screens in New York and LA. Written and directed by Kristoffer Borgli’s (Sick Of Myself) and produced by Ari Aster, it stars Nicolas Cage as a hapless family…	Unrelated	Not relevant
111	Priscilla' stars Cailee Spaeny and Jacob Elordi on trust, Sofia and souvenirs	As a child of the South, actor Cailee Spaeny grew up steeped in Graceland mythology, memorabilia and Elvis Presley tunes.	Actor & Director	Priscilla
112	Are fans getting tired of the MCU?	Decoding Fandom is a weekly column that dives deep into the world of fan culture and runs on Saturdays in the Daily Dot’s web_crawlr newsletter. If you want to get this column a day before we publish it, subscribe to web_crawlr, where you’ll get the daily sco…	Movie production	The Marvels
113	Weekend Box Office: Hunger Games comes in light while Marvels has historic drop	The Hunger Games prequel came in under expectations while The Marvels ties with Shaquille O'Neal for worst second week drop ever for a comic book movie.	Performance	THG
114	Emerald Fennell Soaks in Sexy Boys and Sleepy Class Satire in Saltburn: Review	In the filmmaker's followup to Promising Young Woman, Barry Keoghan smolders and schemes.	Actor & Director	Saltburn
115	Watch: 60 Sec Film School with Alexander Payne of 'The Holdovers'	I hope audiences feel it's a successful and unforced, lived in sense of period and time. Focus Features has revealed a brief behind-the-scenes featurette for The Holdovers, the latest film by filmmaker Alexander Payne (Election, Sideways, The Descendants, N…	Movie production	The Holdovers
116	Thanksgiving 2 Gets Optimistic Update From Eli Roth	Thanksgiving director Eli Roth gives an optimistic update about a sequel to the holiday slasher film, indicating he has ideas for a follow-up.	Actor & Director	Thanksgiving
117	The Marvels Marks Lowest MCU Opening, Debuts With Disappointing $110 Million Collection Globally	The Marvels has debuted to a disappointing $110.3 million (about Rs. 918 crore) at the worldwide box office in its opening weekend. It now marks the worst start in MCU’s history, further solidifying the idea of superhero movie fatigue. The film earned roughly…	Performance	The Marvels
118	"BioShock movie director promises Netflix live-action adaptation will have some ""new little twists"" that will surprise fans"	Exclusive: Director Francis Lawrence shares an update on his upcoming BioShock movie	Unrelated	Not relevant
119	‘Saltburn’ Review: A Promising Young Man Takes a Seedy Turn	“Saltburn” is the sort of embarrassment you’ll put up with for 75 minutes. But not for 127. It’s too desperate, too confused, too pleased with its petty shocks to rile anything you’d recognize as genuine excitement. This thing was written and directed by Emer…	Backlash	Saltburn
120	How the Thessaloniki Film Festival Is Adapting to Remain a ‘One-of-a-Kind Experience’ for Greek Audiences and an ‘Essential Actor’ for the Local Industry	When the Thessaloniki Intl. Film Festival kicks off its 64th edition on Nov. 2, the organizers will unveil a host of changes while renewing their commitment to serving audiences at one of Europe’s longest-running film events — all at a time of almost unpreced…	Unrelated	Not relevant
121	Sofia Coppola reveals she wanted to have Lana Del Rey feature on Priscilla soundtrack	In a recent interview with E! News, Sofia Coppola revealed that she had tried to collaborate with Lana Del Rey on the soundtrack to her film Priscilla, the biographical drama film based on the 1985 memoir Elvis and Me by Priscilla Presley.	Actor & Director	Priscilla
122	‘Hunger Games: The Ballad of Songbirds and Snakes’ Cast and Character Guide	Meet the key players in the 10th Annual Hunger Games -- including some familiar names and faces	Movie production	THG
123	Festival Faves ‘The Holdovers’, ‘Priscilla’ Start Awards Season Runs, Open Well In Limited Release – Specialty Box Office	Alexander Payne’s The Holdovers from Focus Features pulled in an estimated $200k on six screens in New York and LA for a per-screen average of $33.3k, a good limited opening on an upbeat specialty weekend that also saw A24’s Priscilla by Sofia Coppola off to …	Performance	The Holdovers
124	‘The Marvels’ melts down at box office	Since 2008’s “Iron Man,” the Marvel machine has been one of the most unstoppable forces in box-office history. Now, though, that aura of invincibility is showing signs of wear and tear. The superhero factory hit a new low with the weekend launch of “The Marve…	Performance	The Marvels
125	Thanksgiving' Helps Bring The Jump Scare Back To The Box Office	Director Eli Roth’s new horror movie is inane, gory, rife with stereotypes, but oh-so-fun for fans looking to be both terrified and repulsed at the theater.	Positive review	Thanksgiving
126	The Holdovers Interview: Writer David Hemingson On Turning a Spec Script Into a Major Motion Picture	The Holdovers writer and producer David Hemingson talks about working with Alexander Payne and Paul Giamatti on the heartwarming dramatic comedy.	Actor & Director	The Holdovers
127	Saltburn review: Barry Keoghan and Jacob Elordi seek racy thrills	The darkly comedic and corrupt whims of the wealthy are on full display in filmmaker Emerald Fennell’s racy thriller Saltburn. The cheeky provocateur’s follow-up to her Oscar-winning directorial debut, Promising Young Woman, Saltburn wages war on the stuffy B…	Movie production	Saltburn
128	New Movies, Fall 2023	On Janet Planet, The Curse, The Feeling That the Time for Doing Something Has Passed, and Priscilla.	Movie production	Priscilla
129	The Marvel's' End Credits Scenes and What They Mean for the Future of the MCU	Spoilers for 'The Marvels' The last Marvel movie I saw, at home or in theaters, was Spider-Man: No Way Home. Before that, I'd seen every Marvel movie and every Marvel television series, but I didn't run out to see Doctor...	Movie production	The Marvels
130	Hunger Games prequel sings an edgier tune in ‘Songbirds & Snakes’	Fifth film in the dystopian sci-fi franchise is supposed to be bloody and brutal, and it is.	Movie production	THG
131	Border Town Drama ‘Radical’ With Eugenio Derbez Busts Out In U.S. Debut; ‘Priscilla’ Rocks Expansion	Radical with Eugenio Derbez built on its smash opening in Mexico to hit no. 5 at the U.S. box office with a super $2.7 million at 416 theaters. The Pantelion film had delayed its debut Stateside by two weeks to skirt The Eras Tour juggernaut, allowing word of…	Movie production	Priscilla
0	‘Priscilla’ stars Cailee Spaeny and Jacob Elordi on trust, Sofia and souvenirs	Cailee Spaeny and Jacob Elordi play Priscilla and Elvis Presley in Sofia Coppola's new film, now playing in theaters nationwide	Actor & Director	Priscilla
1	Weekend Box Office: The Marvels has worst MCU opening ever	Audiences spoke with their wallets this weekend making The Marvels the lowest opening ever for an MCU film	Performance	The Marvels
2	How to Watch The Hunger Games Prequel – Release Date and Streaming Status	It's supposed to be pretty good actually.	Movie production	THG
3	“The Marvels” Review	The Marvels: Directed by Nia DaCosta. With Brie Larson, Teyonah Parris, Iman Vellani, Samuel L. Jackson. Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe. It’s finally out…	Movie production	The Marvels
4	PRISCILLA Star Cailee Spaeny Covers V Magazine’s New Winter Issue	Introducing V MAGAZINE’s November/December issue, V145, starring actor Cailee Spaeny—the lead of Sofia Coppola’s highly anticipated new film, PRISCILLA. Across three covers, the rising ingénue is photographed by Rob Rusling and styled by Anna Trevelyan. She c…	Actor & Director	Priscilla
5	Saltburn: Barry Keoghan is excellent as a Scouser among malign poshos at Oxford	Film never properly escapes its guilty passion for the surface attractions of the posh Saltburn life	Movie production	Saltburn
6	Will 'The Ballad of Songbirds & Snakes' Get a Sequel? Movie's Director & Producer Have an Idea for One	The Hunger Games: The Ballad of Songbirds and Snakes brought us back to the world of Panem, and fans of the franchise are likely wondering if there is more content on the way. The answer is not immediately clear. If you were unaware, the latest movie is based…	Movie production	THG
7	The post 5 things to watch this weekend appeared first on TheGrio.	“The Hunger Games” returns to theaters this week and “Rustin” hits Netflix. From returning film franchises to new holiday classics, […]	Unrelated	Not relevant
8	The Bikeriders races onto the cover of the new issue of Total Film	Get the inside track on Jeff Nichols' new movie	Unrelated	Not relevant
9	New ‘Hunger Games’ Prequel Faces Franchise’s Worst Average Reviews—Ahead Of Expected $50 Million Opening	The film is also expected to have the franchise’s worst opening weekend at the box office by a large margin—but box office analysts still expect solid revenue.	Performance	THG
10	Sofia Coppola Hoped to Get Lana Del Rey for ‘Priscilla’ Soundtrack	Coppola also invited Del Rey to the premiere, but the singer-songwriter couldn’t attend.	Movie production	Priscilla
11	Priscilla Presley Was Initially ‘Concerned’ About Sofia Coppola’s Film	Told from Priscilla’s point of view, Sofia Coppola’s new intimate biopic Priscilla delves deep into the famous couple's relationship, shedding light on some of the lesser-known and more unsettling aspects of their courtship and marriage. The film initially co…	Movie production	Priscilla
12	Want to Give ‘The Holdovers’ Writer David Hemingson a ‘Colossal’ Compliment? Tell Him He Writes Just Like Alexander Payne	Hemingson may be the sole credited screenwriter on Payne's latest, but as the awards season favorite tells IndieWire, they forged a partnership that forever changed the film — and Hemingson's filmmaking philosophy.	Movie production	The Holdovers
13	The Hunger Games: The Ballad of Songbirds and Snakes - What to know about Peter Dinklage and Viola Davis’ new film	Could the latest film in the franchise overtake Barbie?	Performance	THG
14	Jacob Elordi Copied Elvis' Out Of Control Bacon Habit For 'Priscilla'	Elordi said he was eating a pound of bacon a day while playing The King in Sofia Coppola's new film.	Actor & Director	Priscilla
15	Jacob Elordi heats up, Gus Kenworthy gets naughty & all the can’t-miss LGBTQ+ releases of the week	Stay in-the-know with Queerty's midweek pop culture catch-up.	Unrelated	Not relevant
16	Iman Vellani & Nia DaCosta Make Suprise Appearance at 'The Marvels' Screening	Iman Vellani and Nia DaCosta are surprising fans at a screening for their new movie The Marvels! The 21-year-old Ms. Marvel star and the 34-year-old director showed up at The Marvels special screening event at the El Capitan Theatre on Thursday (November 9) i…	Movie production	The Marvels
17	Review: ‘The Hunger Games: The Ballad of Songbirds and Snakes’ is a prequel for pre-sold fans only	"The ""Hunger Games"" prequel takes its dystopian hellhole duties SUPERseriously, with more solemnity than imaginative excitement."	Movie production	THG
18	Just how gay is ‘Saltburn’? A spoiler-filled breakdown of Jacob Elordi & Barry Keoghan’s darkly funny thriller	We can think of at least three jaw-dropping scenes in 'Saltburn' that'll have the gays talking for the rest of the year.	Movie production	Saltburn
19	Eli Roth’s Thanksgiving is finally here. Was it worth the 16-year wait?	Patrick Dempsey and TikToker Addison Rae star in an overbaked turkey of a movie.	Backlash	Thanksgiving
20	THE MARVELS EP On The Characters Who Appeared In Sequel's Uncanny Mid-Credits Scene - SPOILERS	The Marvels executive producer Mary Livanos has weighed in on the movie's much-discussed mid-credits scene, explaining why they decided to go with the characters who appeared...	Movie production	The Marvels
21	Rosamund Pike & Matthew Rhys Board ‘Hallow Road,’ XYZ Thriller From Babak Anvari	EXCLUSIVE: Rosamund Pike (Saltburn) and Matthew Rhys (Perry Mason) have entered production overseas on Hallow Road, a new psychological thriller, which Under the Shadow‘s Babak Anvari is directing from a script by William Gillies. Commissioned and developed b…	Actor & Director	Saltburn
22	‘Barbie,’ ‘Oppenheimer’ Among Top Artisan Awards Season Contenders	This year’s awards-contending films offer a treasure trove of crafts that includes transformations, exquisite sets, lavish costumes, memorable scores and songs and immersive cinematography. The contenders range from newcomers to legends — Variety breaks down …	Unrelated	Not relevant
23	15 Films To Watch In November: ‘Napoleon,’ ‘Maestro,’ ‘The Killer’ ‘The Marvels’ & More	As is often the case, November is a packed month for the film release schedule. There are plenty of festival favorites that made the rounds and are now getting their mainstream release. It’s also a big month for notable directors with new films from everyone …	Unrelated	Not relevant
24	Saltburn review: Barry Keoghan shines in Emerald Fennell’s punk Brideshead	Rating: Three stars	Performance	Saltburn
25	Director Francis Lawrence On Returning To ‘The Hunger Games’	After the fraught ‘Mockingjay’ movies, Francis Lawrence explains why he wanted to make ‘The Hunger Games: The Ballad of Songbirds & Snakes’	Movie production	THG
26	‘Saltburn’ Off to a Promising Start at Specialty Box Office	"Emerald Fennell's thriller opened in limited release while Taika Waititi's ""Next Goal Wins"" opened nationwide"	Performance	Saltburn
27	‘Saltburn Review’: Lust, Envy and Toxic Elitism - The New York Times	‘Saltburn Review’: Lust, Envy and Toxic ElitismThe New York Times Emerald Fennell on 'Saltburn': The Year's Filthiest, Most Shocking FilmThe Daily Beast 'Saltburn' Review: Vibes and Empty ProvocationsVulture The Sons and Daughters of Tom RipleyThe Ringer Salt…	Movie production	Saltburn
28	How does the film about Priscilla compare to Baz Luhrmann's Elvis epic?	Many films and documentaries about music icon Elvis Presley have been made, but now his ex-wife Priscilla's story is in the spotlight.	Movie production	Priscilla
29	Saltburn Clip: Barry Keoghan Saves Jacob Elordi From a Flat Tire	The first Saltburn clip from Emerald Fennell’s next directorial feature has been released, featuring Barry Keoghan and Jacob Elordi. The video provides a glimpse of the first meeting between their characters, Keoghan’s Oliver and Elordi’s Felix. It shows Oliv…	Movie production	Saltburn
30	Is That Paul Giamatti's Actual Eye in 'The Holdovers'? All About the Glass Eye	If you watch Paul Giamatti in the new movie The Holdovers, you might be left wondering: is that his real eye? The 56-year-old Oscar-nominated actor stars in the new film as a teacher at a boarding school who is forced to spend Christmas break as the guardian …	Movie production	The Holdovers
31	Should You Eat an Edible Before Seeing Priscilla?	Coppola's portrait of Elvis and Priscilla feels like an old Polaroid.	Movie production	Priscilla
32	Priscilla, the new film by director Sofia Coppola, is atmospheric, expertly soundtracked, and lovely to watch. You don't have to be a razor sharp cinephile to see…	\s	Movie production	Priscilla
33	‘The Holdovers’	“Hi, I’m Alexander Payne. I directed ‘The Holdovers.’” I thought Barton Men don’t lie. Don’t get me wrong, that was fun. But you just lied through your teeth. “The story is basically about a bunch of students at an all-boys prep school in New England who have…	Actor & Director	The Holdovers
34	The Holdovers Prize Pack Giveaway for the Alexander Payne Period Dramedy	ComingSoon is holding The Holdovers prize pack giveaway for the upcoming period dramedy from Focus Features directed by Alexander Payne. We have one prize pack to give away, which comes with a vintage Barton sweatshirt, a Barton mascot iron-on patch, a leathe…	Unrelated	Not relevant
35	The Hunger Games: The Ballad of Songbirds & Snakes Interview: Producer On Coriolanus Snow Lore	The Hunger Games: The Ballad of Songbirds &amp; Snakes producer Nina Jacobson discusses Coriolanus Snow, Hunger Games lore, and practical locations.	Movie production	THG
36	‘Thanksgiving’ Review: Eli Roth’s Extra Crispy, Anti-Capitalist Slasher Is So Good You’ll Want Seconds	"Nell Verlaque, Patrick Dempsey, Rick Hoffman, and more star in ""The Hostel"" and ""Cabin Fever"" director's triumphant genre return: An instant holiday classic with all the fixings adapted from a one-off trailer that first appeared in 2007's ""Grindhouse."""	Movie production	Thanksgiving
37	Child’s Play	Priscilla Beaulieu was fourteen years old when she met Elvis Presley, seventeen when she left her parents’ house for Graceland, twenty-one when she and Presley married, twenty-two when they had their first and only child together. Each of these events could b…	Movie production	Priscilla
38	Box Office Update: Hunger Games Prequel seeing under $50 million debut	The long in the tooth title The Hunger Games: The Ballad of Songbirds & Snakes is looking at an opening just shy of the half century mark.	Performance	THG
39	‘The Marvels’ Never Really Stood A Chance	Critics and MCU fans all have something to say about the movie, and it’s a symptom of a larger issue.	Backlash	The Marvels
40	‘Thanksgiving’ Slices and Dices Cinematic Influences from Fellini to ‘A Christmas Story’	"Director Eli Roth talks about the broad array of films that led to the most deliriously entertaining American horror film since ""Scream."""	Actor & Director	Thanksgiving
41	The Meaning Behind “The Hanging Tree” Song in The Hunger Games Prequel	The meaning behind the song, which features prominently in 'The Hunger Games' and 'The Ballad of Songbirds and Snakes'	Movie production	THG
42	Cabin Fever (2002) – WTF Happened to This Horror Movie?	The new episode of the WTF Happened to This Horror Movie video series looks back at Eli Roth's 2002 film Cabin Fever	Unrelated	Not relevant
43	Best Of: What's Next For Fox News? / Sofia Coppola	This week, Rupert Murdoch stepped down from his position as chair and CEO of Fox, and his son Lachlan replaced him. How might Fox change under Lachlan's leadership? And how has it already changed since Tucker Carlson was fired?  Brian Stelter, author of the b…	Unrelated	Not relevant
44	Box Office: ‘The Marvels’ Misfires With $47 Million, Lowest MCU Opening Weekend of All Time	Disney’s Marvel Cinematic Universe is no longer a bulletproof box office franchise. That much is clear after “The Marvels” misfired with $47 million in its opening weekend to land the worst debut in MCU history. Initial tracking was closer to $75 million to $…	Performance	The Marvels
45	Why Is Lana Del Rey Not In 'Priscilla'? Sofia Coppola Explained	Lana Del Rey has espoused her love for Priscilla Presley throughout her career, so much so that she was supposed to be part of the new biopic 'Priscilla.'	Actor & Director	Priscilla
46	‘The Holdovers’ Director Alexander Payne Wants “Theatrical Real Estate Dedicated To More Human Films”	Alexander Payne, director of The Holdovers, said he gets pushback for the kinds of films that he makes but he plans to persevere and hopes there will be more space for “human” stories in theaters. “People ask ‘How is it you’re making these human comedy-dramas…	Actor & Director	The Holdovers
47	Daywatch: Johnson deflects questions on City Hall controversy, migrant housing effort	Good morning, Chicago. Here are some of the top stories you need to know to start your day.	Unrelated	Not relevant
48	'Hunger Games' prequel tramples 'Trolls' in box office battle royale, scores $44 million	The Hunger Games: The Ballad of Songbirds & Snakes outduels 'Trolls Band Together' to secure the box office title. The film debuts to $44 million, the lowest for any 'Hunger Games' installment.	Performance	THG
49	Does ‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Have A Post-Credit Scene?	The prequel to 'The Hunger Games' stars Rachel Zegler as Lucy Gray, who participates in the Hunger Games ceremony.	Movie production	THG
50	Jenna Ortega and Emilia Clarke among Harper’s Bazaar Women of the Year winners	Emilia Clarke and Jenna Ortega are among the winners at this year’s Harper’s Bazaar Women of the Year Awards 2023.	Unrelated	Not relevant
51	'The Marvels' loses its powers with the lowest-grossing MCU opening ever	'The Marvels,' the latest entry into Disney's Marvel Cinematic Universe, landed the top spot at the domestic box office, despite having the worst opening weekend of the MCU era.	Performance	The Marvels
52	Outsized Negative ‘The Marvels’ Reactions Prompt Stephen King to Ask ‘Why Gloat Over Failure’	"The ""Captain Marvel"" sequel has endured the worst opening for Marvel Studios, despite a majority of positive reviews"	Performance	The Marvels
53	6 Things We Learned From 'The Hunger Games' Prequel Cast at Their Press Conference	The Hunger Games: The Ballad of Songbirds and Snakes cast had a lot say about their upcoming movie! At a press conference held on Sunday (November 12), stars Rachel Zegler, Tom Blyth, Hunter Schafer, and Josh Andrés Rivera detailed what it meant to be part of…	Actor & Director	THG
54	‘Thanksgiving’ Review: Eli Roth Turns His Slasher-Movie Trailer From ‘Grindhouse’ Into a Real Slasher Movie, and It’s Mostly Slashing Good Fun	“Thanksgiving,” a cheerfully debased — or maybe I should say de-basted — slasher film directed by Eli Roth, marks the second time that one of the luscious mock trailers from Quentin Tarantino and Robert Rodriguez’s “Grindhouse” has been spun into a feature fi…	Movie production	Thanksgiving
55	Eli Roth wants Thanksgiving to launch a holiday horror franchise	Eli Roth can see Thanksgiving spawning an entire universe of holiday-themed horror movies for a new generation.	Actor & Director	Thanksgiving
56	What The Marvels Got Right	This article contains spoilers for The Marvels. There’s been a lot of discourse surrounding The Marvels and its less-than-ideal performance in theaters. With all of the interconnected movies and TV shows that Marvel studios has been releasing over the last fe…	Movie production	The Marvels
57	Barry Keoghan’s Naked Dance Scene in ‘Saltburn’ Needed 11 Takes	SPOILER ALERT: This story discusses major plot points, including the ending for “Saltburn.” In the final moments of Emerald Fennell’s “Saltburn,” Sophie Ellis-Bextor’s 2001 song, “Murder on the Dancefloor” pumps out over the speakers, while Barry Keoghan’s Ol…	Movie production	Saltburn
58	‘The Marvels’ Makes Box Office History, ‘The Hunger Games’ Eyes #1 Spot	While Marvel Studios expected The Marvels to blast off to higher box office last weekend, the Captain Marvel sequel from Nia DaCosta still topped the box office for the weekend and officially became the highest grossing theatrical release of all time by a Bla…	Performance	The Marvels
59	‘The Marvels’ Bombing in Box Office Opening	The movie's performance fuels the theory that superhero fatigue is a real thing if a pic doesn't deliver on every front.	Movie production	The Marvels
60	The Holdovers Review: Paul Giamatti & Da’Vine Joy Randolph Shine in Charming Time Capsule	Hearkening back to decades ago, Alexander Payne delivers an intimate and touching character drama.	Positive review	The Holdovers
61	Fly, ‘Songbird’, Fly: ‘Hunger Games’ Rachel Zegler & More On “Emotion” Of Singing Pic’s “Timeless And Classic” Country Songs Live On Set – LA Premiere	The Hunger Games: The Ballad of Songbirds and Snakes might be dressed up like a prequel in its early roots story of villain-to-be Coriolanus Snow, and some might think that Rachel Zegler’s Lucy Gray Baird is just an early days Katniss from District 12. Howeve…	Movie production	THG
62	‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Devours $99M Global Opening; ‘Trolls Band Together’ Tops $100M WW – International Box Office	Refresh for latest…: Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes very (very) narrowly missed the $100M mark globally in its opening weekend, but it’s as near as dammit with an estimated $98.5M through Sunday worldwide. The Francis Lawrence-…	Performance	THG
63	The post Box Office Update: The Marvels proving to be Un-Marvelous appeared first on JoBlo.	The Marvels is currently on track to have the worst debut in the entire 15 year, 33 film history of the Marvel Cinematic Universe.	Performance	The Marvels
64	Emerald Fennell: We needed somebody as enigmatic and sexy as Barry Keoghan	Oscar winner’s new film stars Keoghan as a rough-hewn Oxford scholarship student who becomes an unlikely guest of a blue-blooded family	Unrelated	Not relevant
65	Which Documentary Honors Provide the Best Preview for the Best Documentary Feature Race	"With the first round of major winter award nominations in tow, ""Screen Talk"" host Anne Thompson explains how organizations like Doc NYC affect the Best Documentary Feature Oscar race."	Unrelated	Not relevant
66	‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Devours $99M Global Opening; ‘Trolls Band Together’ Tops $100M WW	Tom Blyth and Rachel Zegler in 'The Hunger Games: The Ballad of Songbirds & Snakes' Refresh for latest…: Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes very (very) narrowly missed the $100M mark globally in its opening weekend, but it’s as nea…	Performance	THG
67	T LOunge for November 13th, 2023	Leña Bar and Restaurant – Toronto, Canada Darlings, you may as well just belly up to the bar right now and call it a day, for today is MONDAY. We’ll do our best to throw lots of frivolous things at you today to distract you, if you promise not to think too ha…	Unrelated	Not relevant
68	Alexander Payne on the inspirations of 'The Holdovers' and the movies that shaped him	A deep affection for cinema tends to run alongside the moviemaking for Alexander Payne	Actor & Director	The Holdovers
69	The Marvels Box Office Meltdown Marks New Low for the MCU	The superhero factory hit a new low with the weekend launch of “The Marvels,” which opened with just $47 million, according to studio estimates Sunday.	Backlash	The Marvels
